
H:\Amazon\EC2>psql -U ubuntu -h ec2.cmack.org -d production -f pm-number.sql 
Output format is unaligned.
Field separator is "	".
maptype	book	page	number
Parcel Map	1	1	1
Parcel Map	1	2	2
Parcel Map	1	5	3
Parcel Map	1	8	4
Parcel Map	1	16	5
Parcel Map	1	17	4 AMENDED
Parcel Map	1	18	6
Parcel Map	1	19	7
Parcel Map	1	20	8
Parcel Map	1	21	9
Parcel Map	1	22	10
Parcel Map	1	23	11
Parcel Map	1	24	12
Parcel Map	1	25	13
Parcel Map	1	26	14
Parcel Map	1	27	15
Parcel Map	1	28	16
Parcel Map	1	29	17
Parcel Map	1	30	18
Parcel Map	1	31	19
Parcel Map	1	32	20
Parcel Map	1	33	21
Parcel Map	1	34	22
Parcel Map	1	38	23
Parcel Map	1	39	24
Parcel Map	1	40	25
Parcel Map	1	41	26
Parcel Map	1	42	27
Parcel Map	1	43	28
Parcel Map	1	44	29
Parcel Map	1	45	30
Parcel Map	1	46	31
Parcel Map	1	47	32
Parcel Map	1	48	33
Parcel Map	1	49	34
Parcel Map	1	50	35
Parcel Map	1	51	36
Parcel Map	1	52	37
Parcel Map	1	53	38
Parcel Map	1	54	39
Parcel Map	1	55	40
Parcel Map	1	56	41
Parcel Map	1	57	42
Parcel Map	1	58	43
Parcel Map	1	59	44
Parcel Map	1	60	45
Parcel Map	1	61	46
Parcel Map	1	62	47
Parcel Map	1	63	48
Parcel Map	1	64	49
Parcel Map	1	65	50
Parcel Map	1	66	51
Parcel Map	1	67	52
Parcel Map	1	68	53
Parcel Map	1	69	54
Parcel Map	1	70	55
Parcel Map	1	71	56
Parcel Map	1	74	57
Parcel Map	1	75	58
Parcel Map	1	86	59
Parcel Map	1	87	60
Parcel Map	1	88	61
Parcel Map	1	91	62
Parcel Map	1	92	63
Parcel Map	1	95	64
Parcel Map	1	115	65
Parcel Map	1	119	66
Parcel Map	1	120	67
Parcel Map	1	121	68
Parcel Map	1	123	69
Parcel Map	1	124	70
Parcel Map	1	125	71
Parcel Map	1	126	72
Parcel Map	1	127	73
Parcel Map	1	128	74
Parcel Map	1	129	75
Parcel Map	1	130	76
Parcel Map	1	131	77
Parcel Map	1	132	78
Parcel Map	1	133	79
Parcel Map	1	134	80
Parcel Map	1	135	81
Parcel Map	1	136	82
Parcel Map	1	137	83
Parcel Map	1	138	84
Parcel Map	1	139	85
Parcel Map	1	140	86
Parcel Map	1	141	87
Parcel Map	1	142	88
Parcel Map	1	143	89
Parcel Map	1	144	90
Parcel Map	1	145	91
Parcel Map	1	146	92
Parcel Map	1	147	93
Parcel Map	1	148	94
Parcel Map	1	149	95
Parcel Map	1	150	96
Parcel Map	2	1	97
Parcel Map	2	2	98
Parcel Map	2	3	99
Parcel Map	2	4	100
Parcel Map	2	5	101
Parcel Map	2	6	102
Parcel Map	2	7	103
Parcel Map	2	8	104
Parcel Map	2	9	105
Parcel Map	2	10	106
Parcel Map	2	11	107
Parcel Map	2	12	108
Parcel Map	2	13	109
Parcel Map	2	14	110
Parcel Map	2	15	111
Parcel Map	2	16	112
Parcel Map	2	17	113
Parcel Map	2	18	114
Parcel Map	2	22	115
Parcel Map	2	23	116
Parcel Map	2	24	117
Parcel Map	2	25	118
Parcel Map	2	26	119
Parcel Map	2	27	120
Parcel Map	2	28	121
Parcel Map	2	29	122
Parcel Map	2	30	123
Parcel Map	2	31	124
Parcel Map	2	32	125
Parcel Map	2	33	126
Parcel Map	2	34	127
Parcel Map	2	35	128
Parcel Map	2	36	129
Parcel Map	2	37	130
Parcel Map	2	38	131
Parcel Map	2	39	132
Parcel Map	2	40	133
Parcel Map	2	41	134
Parcel Map	2	42	135
Parcel Map	2	43	136
Parcel Map	2	44	137
Parcel Map	2	45	138
Parcel Map	2	46	139
Parcel Map	2	47	140
Parcel Map	2	48	141
Parcel Map	2	49	142
Parcel Map	2	50	143
Parcel Map	2	51	144
Parcel Map	2	52	145
Parcel Map	2	53	146
Parcel Map	2	54	147
Parcel Map	2	55	148
Parcel Map	2	56	149
Parcel Map	2	57	150
Parcel Map	2	58	151
Parcel Map	2	59	152
Parcel Map	2	60	153
Parcel Map	2	61	154
Parcel Map	2	62	155
Parcel Map	2	63	156
Parcel Map	2	64	157
Parcel Map	2	65	158
Parcel Map	2	66	159
Parcel Map	2	67	160
Parcel Map	2	68	161
Parcel Map	2	69	162
Parcel Map	2	70	163
Parcel Map	2	71	164
Parcel Map	2	72	165
Parcel Map	2	73	166
Parcel Map	2	74	167
Parcel Map	2	75	168
