
H:\Amazon\EC2>psql -U ubuntu -h ec2.cmack.org -d production -f tr-number.sql 
Output format is unaligned.
Field separator is "	".
maptype	book	page	tract
Record Map	13	129	3
Record Map	13	131	8
Record Map	13	136	9
Record Map	13	138	10
Record Map	13	140	11
Record Map	13	142	12
Record Map	13	146	13
Record Map	14	1	14
Record Map	14	3	15
Record Map	14	6	16
Record Map	14	9	17
Record Map	14	12	18
Record Map	14	17	19
Record Map	14	19	20
Record Map	14	21	21
Record Map	14	24	22
Record Map	14	27	23
Record Map	14	28	24
Record Map	14	30	25
Record Map	14	33	26
Record Map	14	35	27
Record Map	14	40	28
Record Map	14	42	29
Record Map	14	44	30
Record Map	14	46	31
Record Map	14	48	32
Record Map	14	50	33
Record Map	14	52	34
Record Map	14	54	35
Record Map	14	58	25 AMENDED
Record Map	14	61	36
Record Map	14	63	37
Record Map	14	67	38
Record Map	14	69	39
Record Map	14	71	40
Record Map	14	72	41
Record Map	14	73	42
Record Map	14	139	43
Record Map	14	140	44
Record Map	14	143	45
Record Map	14	147	46
Record Map	14	150	47
Record Map	15	1	48
Record Map	15	3	49
Record Map	15	4	50
Record Map	15	6	51
Record Map	15	7	52
Record Map	15	9	53
Record Map	15	11	54
Record Map	15	12	55
Record Map	15	14	56
Record Map	15	16	57
Record Map	15	18	58
Record Map	15	21	59
Record Map	15	24	60
Record Map	15	25	61
Record Map	15	27	62
Record Map	15	29	63
Record Map	15	31	64
Record Map	15	33	65
Record Map	15	34	66
Record Map	15	38	67
Record Map	15	39	68
Record Map	15	47	69
Record Map	15	48	70
Record Map	15	51	71
Record Map	15	53	72
Record Map	15	55	70 AMENDED
Record Map	15	58	73
Record Map	15	61	74
Record Map	15	64	42 AMENDED
Record Map	15	117	75
Record Map	15	119	76
Record Map	15	122	77
Record Map	15	124	78
Record Map	15	127	79
Record Map	15	130	80
Record Map	15	132	81
Record Map	15	134	82
Record Map	15	136	83
Record Map	15	138	84
Record Map	15	140	42 AMENDED
Record Map	15	146	85
Record Map	15	148	86
Record Map	16	2	87
Record Map	16	7	88
Record Map	16	12	89
Record Map	16	14	90
Record Map	16	18	91
Record Map	16	20	92
Record Map	16	22	93
Record Map	16	25	94
Record Map	16	27	95 UNIT 1
Record Map	16	30	95 UNIT 2
Record Map	16	32	95 UNIT 3
Record Map	16	34	96
Record Map	16	37	97
Record Map	16	39	98
Record Map	16	42	99
Record Map	16	43	100
Record Map	16	47	101
Record Map	16	49	102
Record Map	16	51	103
Record Map	16	54	104
Record Map	16	56	105
Record Map	16	58	106
Record Map	16	60	107
Record Map	16	62	108
Record Map	16	64	109
Record Map	16	66	110
Record Map	16	68	111
Record Map	16	70	112
Record Map	16	72	113
Record Map	16	81	114
Record Map	16	83	115
Record Map	16	86	116
Record Map	16	88	117
Record Map	16	90	118
Record Map	16	92	119
Record Map	16	94	120
Record Map	16	96	121
Record Map	16	98	122
Record Map	16	100	123
Record Map	16	102	124
Record Map	16	109	125
Record Map	16	111	126
Record Map	16	113	127
Record Map	16	115	128
Record Map	16	116	129
Record Map	16	125	130
Record Map	16	132	131
Record Map	16	138	132
Record Map	16	141	133
Record Map	16	143	134
Record Map	16	144	125 AMENDED
Record Map	16	145	135
Record Map	16	147	136
Record Map	16	149	137
Record Map	17	1	138
Record Map	17	3	139
Record Map	17	5	140
Record Map	17	7	141
Record Map	17	9	142
Record Map	17	11	143
Record Map	17	13	144
Record Map	17	15	145
Record Map	17	17	146
Record Map	17	19	147
Record Map	17	20	148
Record Map	17	22	149
Record Map	17	25	150
Record Map	17	28	151
Record Map	17	31	152
Record Map	17	33	153
Record Map	17	35	154
Record Map	17	38	155
Record Map	17	43	156
Record Map	17	46	157
Record Map	17	48	158
Record Map	17	50	159
Record Map	17	52	160
Record Map	17	54	161
Record Map	17	56	162
Record Map	17	58	163
Record Map	17	59	164
Record Map	17	61	165
Record Map	17	64	166
Record Map	17	66	167
Record Map	17	68	168
Record Map	17	73	169
Record Map	17	75	170
Record Map	17	77	171
Record Map	17	79	172
Record Map	17	81	173
Record Map	17	83	163 AMENDED
Record Map	17	84	174
Record Map	17	86	163 AMENDED
Record Map	17	87	175
Record Map	17	89	176
Record Map	17	93	177
Record Map	17	96	178
Record Map	17	98	179
Record Map	17	100	173 AMENDED
Record Map	17	102	180
Record Map	17	104	181
Record Map	17	107	182
Record Map	17	109	183
Record Map	17	111	184
Record Map	17	113	185
Record Map	17	115	186
Record Map	17	118	187
Record Map	17	120	188
Record Map	17	126	189
Record Map	17	128	190
Record Map	17	130	191
Record Map	17	132	192
Record Map	17	134	193
Record Map	17	136	194
Record Map	17	138	195
Record Map	17	141	196
Record Map	17	142	197
Record Map	17	144	198
Record Map	17	146	199
Record Map	18	1	200
Record Map	18	2	201
Record Map	18	4	202
Record Map	18	5	203
Record Map	18	7	204
Record Map	18	9	205
Record Map	18	12	206
Record Map	18	14	207
Record Map	18	16	208
Record Map	18	18	209
Record Map	18	20	210
Record Map	18	22	211
Record Map	18	24	212
Record Map	18	26	213
Record Map	18	28	214
Record Map	18	30	215
Record Map	18	32	216
Record Map	18	33	217
Record Map	18	35	218
Record Map	18	37	219
Record Map	18	39	220
Record Map	18	41	221
Record Map	18	43	222
Record Map	18	44	223
Record Map	18	46	224
Record Map	18	48	225
Record Map	18	50	226
Record Map	18	52	227
Record Map	18	55	228
Record Map	18	57	229
Record Map	18	58	230
Record Map	18	61	231
Record Map	18	63	232
Record Map	18	65	233
Record Map	18	67	234
Record Map	18	69	235
Record Map	18	71	236
Record Map	18	73	237
Record Map	18	74	238
Record Map	18	76	239
Record Map	18	78	240
Record Map	18	79	241
Record Map	18	84	242
Record Map	18	86	243
Record Map	18	88	244
Record Map	18	90	245
Record Map	18	92	246
Record Map	18	94	247
Record Map	18	97	248
Record Map	18	99	249
Record Map	18	100	250
Record Map	18	101	251
Record Map	18	103	252
Record Map	18	105	253
Record Map	18	107	254
Record Map	18	110	255
Record Map	18	112	256
Record Map	18	114	257
Record Map	18	116	258
Record Map	18	118	259
Record Map	18	120	260
Record Map	18	123	261
Record Map	18	125	262
Record Map	18	127	263
Record Map	18	129	264
Record Map	18	131	265
Record Map	18	133	266
Record Map	18	134	267
Record Map	18	136	268
Record Map	18	138	269
Record Map	18	142	270
Record Map	18	144	271
Record Map	18	146	272
Record Map	18	148	273
Record Map	18	150	274
Record Map	19	1	275
Record Map	19	3	276
Record Map	19	5	277
Record Map	19	7	278
Record Map	19	8	279
Record Map	19	10	280
Record Map	19	11	281
Record Map	19	13	282
Record Map	19	15	283
Record Map	19	17	284
Record Map	19	19	285
Record Map	19	21	286
Record Map	19	23	287
Record Map	19	25	288
Record Map	19	27	289
Record Map	19	34	290
Record Map	19	36	291
Record Map	19	38	292
Record Map	19	40	293
Record Map	19	42	294
Record Map	19	45	295
Record Map	19	46	296
Record Map	19	48	297
Record Map	19	50	298
Record Map	19	52	299
Record Map	19	54	300
Record Map	19	57	301
Record Map	19	59	302
Record Map	19	61	303
Record Map	19	62	304
Record Map	19	64	305
Record Map	19	66	306
Record Map	19	69	307
Record Map	19	71	308
Record Map	19	72	309
Record Map	19	73	310
Record Map	19	75	311
Record Map	19	78	312
Record Map	19	80	313
Record Map	19	82	314
Record Map	19	84	315
Record Map	19	86	316
Record Map	19	89	317
Record Map	19	91	318
Record Map	19	93	319
Record Map	19	95	320
Record Map	19	97	321
Record Map	19	99	322
Record Map	19	101	323
Record Map	19	104	324
Record Map	19	108	325
Record Map	19	110	326
Record Map	19	112	327
Record Map	19	115	328
Record Map	19	118	329
Record Map	19	120	330
